Council,State,Adults - Obesity - ASR,Adults - Obesity - Number,Adults - Overweight/Obese - ASR,Adults- Overweight/Obese - Number,Youth - Obesity - ASR,Youth - Obesity - number,Youth - Overweight/Obesity - ASR,Youth - Overweight/Obesity - number,"ASR - Age standardised rate, Youth 2-17 years, Adults 18+"
Narromine,NSW,40.9,"2,127",74.4,"3,804",8.5,130,25.3,393,
Newcastle,NSW,28.8,"34,891",62.5,"76,084",7.4,"2,188",23.7,"7,019",
North Sydney,NSW,14.7,"8,669",49.9,"30,205",4.4,336,18.7,"1,365",
Oberon,NSW,40.5,"1,672",75.1,"3,038",7.6,84,25,280,
Orange,NSW,37.8,"11,260",71.1,"21,116",8.2,781,24.4,"2,326",
Palerang,NSW,32.2,"3,852",66.7,"7,840",5.8,214,21.2,799,
Parkes,NSW,38.7,"4,371",72.1,"8,080",9,336,25.1,951,
Parramatta,NSW,25.5,"35,326",61.6,"86,848",8.6,"3,216",26.1,"9,547",
Penrith,NSW,32.8,"47,178",69.8,"100,629",8.6,"3,727",26,"11,150",
Pittwater,NSW,21.5,"10,950",57.8,"28,992",4.7,620,19.7,"2,626",
Port Macquarie-Hastings,NSW,34.2,"21,885",67.6,"42,573",7.3,"1,138",21.7,"3,464",
Port Stephens,NSW,34.3,"18,989",67.8,"36,917",7.9,"1,176",22.5,"3,418",
Queanbeyan,NSW,32.5,"10,001",66.7,"20,504",6.6,557,23.4,"1,985",
Randwick,NSW,21.7,"23,438",56.8,"62,562",7.8,"1,736",23.7,"5,158",
Richmond Valley,NSW,39.6,"7,141",72.5,"12,935",9.4,485,25,"1,304",
Rockdale,NSW,23.6,"19,657",59.7,"50,656",7.2,"1,397",24.2,"4,611",
Ryde,NSW,19.2,"17,061",54.5,"48,996",5.9,"1,138",22.4,"4,293",
Shellharbour,NSW,32.8,"17,118",66,"34,155",8.6,"1,378",24.2,"3,953",
Shoalhaven,NSW,35.1,"28,471",68.7,"54,803",8.5,"1,660",23.4,"4,661",
Singleton,NSW,36.6,"6,248",69.4,"11,861",7.2,407,23,"1,311",
Snowy River,NSW,36.7,"2,225",72,"4,256",7.2,119,22.8,388,
Strathfield,NSW,18.2,"5,373",54.3,"16,502",7.3,467,25,"1,597",
Sutherland Shire,NSW,25.7,"45,049",62.8,"109,995",5.7,"2,519",22.2,"9,903",
Sydney,NSW,17,"27,244",51.6,"86,542",6.4,892,23.2,"2,993",
Tamworth Regional,NSW,39.3,"17,854",72.3,"32,556",8.4,"1,177",24.2,"3,441",
Temora,NSW,40.5,"1,870",74.4,"3,377",8.1,106,25.6,343,
Tenterfield,NSW,40.5,"2,348",73.2,"4,142",8.6,118,25.4,351,
The Hills Shire,NSW,23.4,"33,823",60.1,"86,158",5.9,"2,483",22.2,"9,556",
Tumbarumba,NSW,39.1,"1,092",73.9,"2,024",7.8,58,25.1,193,
Tumut Shire,NSW,39.3,"3,434",73.6,"6,365",8.4,217,24.8,648,
Tweed,NSW,34.2,"25,267",67.8,"49,555",7.9,"1,458",23.2,"4,343",
Upper Hunter Shire,NSW,38.6,"4,172",72.6,"7,803",7.7,261,23.3,804,
Upper Lachlan Shire,NSW,37.3,"2,396",72,"4,511",6.6,113,21.9,384,
Uralla,NSW,37.5,"1,905",71.9,"3,567",7.2,108,22.6,346,
Urana,NSW,37.2,359,71.3,678,7.3,17,24,58,
Wagga Wagga,NSW,37.8,"16,991",71.1,"31,935",7.9,"1,112",23.6,"3,340",
Wakool,NSW,37.9,"1,294",72.6,"2,428",9.3,75,25.6,212,
Walcha,NSW,37,919,72.9,"1,778",6.2,41,22.1,147,
Walgett,NSW,,,,,,,,,
Warren,NSW,42.1,899,76.6,"1,624",8.5,56,25.5,166,
Warringah,NSW,22.8,"27,061",59,"70,250",5.3,"1,709",21.5,"6,903",
Warrumbungle Shire,NSW,40.3,"3,067",73.8,"5,536",8.4,189,24.8,566,
Waverley,NSW,16.8,"9,252",52.2,"29,631",5.1,560,20.1,"2,135",
Weddin,NSW,40,"1,180",74.7,"2,173",7.9,66,25.1,214,
Wellington,NSW,43.9,"2,855",76.8,"4,917",10.2,213,26.2,557,
Wentworth,NSW,39.2,"2,091",73.9,"3,878",9.8,143,28,414,
Willoughby,NSW,14.4,"8,261",49.9,"28,832",4.8,708,21.1,"3,087",
Wingecarribee,NSW,31.3,"11,992",65.3,"24,558",6.5,655,22.1,"2,266",
Wollondilly,NSW,31,"11,199",68.2,"24,384",7.2,806,23.3,"2,641",
Wollongong,NSW,29.3,"46,246",62.5,"98,558",7.7,"3,221",24,"10,133",
Woollahra,NSW,15.1,"7,022",50.8,"24,056",4.5,400,19,"1,651",
Wyoong,NSW,34.1,"41,808",70.4,"85,949",8.7,"2,939",23.9,"8,095",
Yass Valley,NSW,32.7,"4,140",67.4,"8,370",6.1,239,21.9,874,
Young,NSW,36.7,"3,574",70.3,"6,740",7.7,231,23.6,718,
Alice Springs,NT,34.3,"6,785",67.3,"13,278",7.2,457,28.4,"1,789",
Barkly,NT,,,,,,,,,
Belyuen,NT,,,,,,,,,
Central Desert,NT,,,,,,,,,
Coomalie,NT,,,,,,,,,
Darwin,NT,25.7,"15,671",62.2,"38,045",5.9,911,26.2,"4,036",
East Arnhem,NT,,,,,,,,,
Katherine,NT,43.3,"3,229",77.8,"5,787",9.4,252,27.8,727,
Litchfield,NT,30.7,"5,477",68.8,"12,026",7.8,368,27.2,"1,316",
MacDonnell,NT,,,,,,,,,
Palmerston,NT,32.2,"7,157",69.6,"15,793",7.2,645,25.5,"2,225",
Roper Gulf,NT,,,,,,,,,
Tiwi Islands,NT,,,,,,,,,
Victoria-Daly,NT,,,,,,,,,
Wagait,NT,,,,,,,,,
West Arnhem,NT,,,,,,,,,
Break O'Day,TAS,35.8,"1,938",69.7,"3,685",7.7,88,28,327,
Brighton,TAS,34.8,"3,959",70.8,"7,953",9.9,389,30.1,"1,166",
Burnie,TAS,34.3,"5,375",67.4,"10,429",7.9,313,28.1,"1,135",
Central Coast,TAS,32.9,"5,964",66.5,"11,879",7.1,309,26.9,"1,198",
Central Highlands,TAS,40,777,74.8,"1,417",8.3,38,28,131,
Circular Head,TAS,35.8,"2,273",69,"4,317",7.2,134,27.6,529,
Clarence,TAS,28.1,"11,802",64.5,"26,910",6.6,710,27.2,"2,861",
Derwent Valley,TAS,36,"2,770",72,"5,469",8.7,182,27.8,573,
Devonport,TAS,34.1,"6,814",67.5,"13,367",7.6,386,28.5,"1,471",
Dorset,TAS,35.8,"2,135",69.6,"4,058",7.7,97,28,361,
Flinders,TAS,,,,,,,,,
George Town,TAS,35.8,"2,077",69.7,"3,948",7.7,95,28,351,
Glamorgan/Spring Bay,TAS,33.8,"1,416",67.9,"2,750",6.6,36,22,126,
Glenorchy,TAS,33,"11,436",68.3,"23,695",8.1,725,30.8,"2,706",
Hobart,TAS,19.2,"7,626",56.1,"22,218",4.6,347,24.9,"1,868",
Huon Valley,TAS,35.4,"4,766",69.2,"9,107",7.3,240,26.5,881,
Kentish,TAS,34.3,"1,839",68,"3,575",7.7,103,27,366,
King Island,TAS,,,,,,,,,
Kingborough,TAS,26.7,"7,300",63.8,"17,241",5.5,430,24.8,"1,925",
Latrobe,TAS,32.3,"2,900",66.3,"5,835",6.9,138,26,530,
Launceston ,TAS,32.9,"16,866",65.7,"33,571",7.2,906,27.4,"3,464",
Meander Valley,TAS,33.9,"5,488",68.2,"10,818",6.4,237,26.8,"1,032",
Northern Midlands,TAS,33.6,"3,475",67.4,"6,829",6.2,152,26.3,652,
Sorell,TAS,30.4,"3,294",67,"7,159",7,201,26.8,758,
Southern Midlands,TAS,40,"2,079",74.8,"3,794",8.3,102,28,352,
Tasman,TAS,33.3,714,69.5,"1,447",7.3,29,28.7,120,
Waratah/Wynyard,TAS,34.3,"3,844",67.5,"7,448",7.6,219,27.5,804,
West Coast,TAS,38.2,"1,376",72.2,"2,571",9.1,75,32,266,
West Tamar,TAS,31.1,"5,822",65.2,"12,016",5.8,271,25.3,"1,226",
Aurukun,QLD,,,,,,,,,
Balonne,QLD,39.5,"1,430",72,"2,577",7.7,91,26.9,311,
Banana,QLD,35.7,"3,827",69.2,"7,443",7.1,259,25.7,919,
Barcaldine,QLD,,,,,,,,,
Barcoo,QLD,,,,,,,,,
Blackall Tambo,QLD,,,,,,,,,
Boulia,QLD,,,,,,,,,
Brisbane,QLD,23.8,"201,250",58.8,"501,584",6.7,"14,050",25.7,"53,106",
Bulloo,QLD,,,,,,,,,
Bundaberg,QLD,35.7,"26,962",67.5,"50,253",8.5,"1,613",24.9,"4,744",
Burdekin,QLD,35.3,"4,823",67.4,"9,118",7.4,277,25.5,969,
Burke,QLD,,,,,,,,,
Cairns,QLD,30.6,"38,387",62.3,"77,739",8.2,"3,141",25.2,"9,597",
Carpentaria,QLD,,,,,,,,,
Cassowary Coast,QLD,37.8,"8,588",70.4,"15,769",8.4,485,26.9,"1,556",
Central Highlands,QLD,36.8,"7,786",69.7,"14,839",8.4,609,26.1,"1,842",
Charters Towers,QLD,37.7,"3,476",69.7,"6,355",8.9,238,27.2,726,
Cherbourg ,QLD,41.5,430,73.8,748,10.2,27,28.1,75,
Cloncurry,QLD,,,,,,,,,
Cook,QLD,,,,,,,,,
Croydon,QLD,,,,,,,,,
Diamantina,QLD,,,,,,,,,
Doomadgee,QLD,,,,,,,,,
Etheridge,QLD,,,,,,,,,
Flinders,QLD,,,,,,,,,
Fraser Coast,QLD,35.8,"29,651",67.8,"55,100",9.2,"1,877",24.9,"5,122",
Gladstone,QLD,34.4,"16,566",67.6,"32,567",7.6,"1,187",24.4,"3,760",
Gold Coast,QLD,28.3,"119,742",60.5,"256,262",7.7,"8,261",25.9,"27,619",
Goondiwindi ,QLD,39.5,"3,220",72,"5,805",7.7,204,26.9,701,
Gympie,QLD,36.2,"14,061",68,"25,952",8.7,914,25.4,"2,658",
Hinchinbrook,QLD,37.7,"3,304",69.7,"6,041",8.9,226,27.2,690,
Hope Vale,QLD,,,,,,,,,
Ispwich,QLD,35.3,"46,167",71.2,"93,453",10.1,"4,714",29,"13,294",
Isaac,QLD,37.4,"5,603",72.1,"10,955",8,459,25.2,"1,371",
Kowanyama,QLD,,,,,,,,,
Lockhart River,QLD,,,,,,,,,
Lockyer Valley,QLD,35.7,"10,192",68.9,"19,489",9.1,804,25.8,"2,279",
Logan,QLD,33.5,"72,861",68.8,"149,209",10,"7,233",30,"21,439",
Longreach,QLD,,,,,,,,,
Mackay,QLD,34,"30,815",65.8,"59,523",7.2,"1,982",25.2,"6,813",
McKinlay,QLD,,,,,,,,,
Mapoon,QLD,,,,,,,,,
Maranoa,QLD,39.1,"3,883",71.9,"7,148",7.3,231,25.1,768,
Moreton Bay ,QLD,31.9,"99,511",67.3,"208,138",8.4,"8,029",26.6,"25,338",
Mornington,QLD,,,,,,,,,
Mount Isa,QLD,35.6,"5,151",68.4,"10,031",9.3,479,27.7,"1,387",
Murweh,QLD,,,,,,,,,
Napranum,QLD,,,,,,,,,
North Burnett,QLD,38.6,"3,326",71.4,"6,016",8.6,179,27.6,577,
Northern Peninsula Area,QLD,,,,,,,,,
Palm Island,QLD,37.7,668,69.7,"1,221",8.9,46,27.2,139,
Paroo,QLD,,,,,,,,,
Pormpuraaw,QLD,,,,,,,,,
Quilpie,QLD,,,,,,,,,
Redland,QLD,30,"34,150",65.4,"73,437",7,"2,243",25.5,"8,199",
Richmond ,QLD,,,,,,,,,
Rockhampton,QLD,35.6,"31,246",67.8,"59,326",8.7,"2,281",26.4,"6,851",
Scenic Rim,QLD,33.4,"10,199",67.5,"20,238",8,676,25,"2,120",
Somerset,QLD,32.3,"5,986",67.2,"12,168",9.5,498,25.5,"1,343",
South Burnett,QLD,38.6,"9,799",70.8,"17,664",9.1,660,26.4,"1,908",
Southern Downs,QLD,35.3,"9,903",67.3,"18,576",8,615,25.7,"1,987",
Sunshine Coast,QLD,28.8,"78,304",61.2,"164,413",6.8,"4,599",23.2,"15,901",
Tablelands,QLD,34.2,"10,913",66.4,"20,817",8.1,742,25.5,"2,335",
Toowoomba,QLD,36.3,"43,237",68.5,"81,231",7.6,"2,744",24.8,"8,912",
Torres,QLD,,,,,,,,,
Torres Strait Island,QLD,,,,,,,,,
Townsville,QLD,31.3,"42,888",64.1,"87,979",8.3,"3,509",25.7,"10,711",
Weipa,QLD,,,,,,,,,
Western Downs,QLD,39.3,"9,504",72,"17,347",7.4,584,25.6,"1,979",
Whitsunday,QLD,34,"8,502",66.3,"16,499",8.1,519,24.8,"1,583",
Winton ,QLD,,,,,,,,,
Woorabinda,QLD,,,,,,,,,
Wujal Wujal,QLD,,,,,,,,,
Yarrabah ,QLD,38.4,714,70.4,"1,298",9.8,55,29.1,163,
Adeliade,SA,18.2,"3,071",51.3,"8,881",5.5,70,18.8,227,
Adeliade Hills,SA,23.6,"7,675",60.9,"19,289",4.5,370,20.9,"1,751",
Alexandrina,SA,34.1,"6,933",68.4,"13,608",6.3,283,21.6,958,
Anangu Pitjantjatjara,SA,,,,,,,,,
Barossa,SA,33,"5,589",67.6,"11,309",5,248,21.3,"1,040",
Barunga West,SA,39.3,737,74.1,"1,367",7.1,37,23.7,121,
Berri and Barmera,SA,36.2,"2,756",68.6,"5,168",7.5,167,23.7,527,
Burnside,SA,17.3,"6,390",53.8,"19,602",3.5,268,19.6,"1,559",
Campbelltown,SA,25.9,"10,742",61.5,"25,553",5.3,468,23.6,"2,134",
Ceduna,SA,,,,,,,,,
Charles Sturt,SA,27.5,"25,226",63.5,"58,428",6.1,"1,136",24.9,"4,657",
Clare and Gilbert valleys,SA,35.4,"2,362",69.7,"4,564",5.7,114,21.2,412,
Cleve,SA,35.9,467,70.7,909,5.9,21,23,78,
Coober Pedy,SA,,,,,,,,,
Copper Coast ,SA,33.5,"3,678",66.9,"7,239",7.2,188,22.4,569,
Elliston,SA,,,,,,,,,
Flinders Rangers,SA,37.4,462,72.1,879,7.6,27,25.8,87,
Franklin Harbour,SA,35.9,342,70.7,666,5.9,15,23,57,
Gawler,SA,34.6,"6,136",71.4,"12,582",6.7,294,22.3,992,
Goyder,SA,39.5,"1,245",74.4,"2,303",6.7,57,22.9,195,
Grant,SA,40.9,"2,424",74.9,"4,368",8.7,148,26.5,443,
Holdfast Bay,SA,23.7,"7,329",59.5,"18,284",4.3,219,21,"1,089",
Kangaroo Island,SA,36.6,"1,324",70.4,"2,483",6.8,57,22.3,186,
Karoonda East Murray,SA,38.7,301,73,558,6.6,14,25.1,51,
Kimba,SA,35.9,292,70.7,569,5.9,13,23,49,
Kingston,SA,36.2,632,70.5,"1,216",5.4,25,23.7,108,
Light,SA,36.3,"3,951",72.8,"7,804",6.4,212,23,762,
Lower Eyre Peninsula,SA,,,,,,,,,
Loxton Waikerie,SA,39.1,"3,327",72.7,"6,070",7.2,156,23.9,525,
Mallala,SA,35.3,"2,401",71.3,"4,759",7,142,23.6,476,
Maralinga Tjarutja,SA,,,,,,,,,
Marion,SA,27.2,"19,327",63.4,"45,137",5.6,813,24.1,"3,477",
Mid Murray,SA,39.2,"2,574",73.7,"4,709",7,101,23.7,343,
Mitcham,SA,22.1,"11,620",58.6,"30,613",4.3,520,21.7,"2,629",
Mount Barker,SA,31.1,"7,761",67.8,"16,746",5.7,411,21.5,"1,546",
Mount Gambier,SA,36.7,"6,880",69.5,"12,974",6.9,387,23.3,"1,293",
Mount Remarkable,SA,37.9,846,72.5,"1,578",6.9,34,24.4,119,
Murray Bridge,SA,36.9,"5,572",69.4,"10,427",7.8,326,24.6,995,
Naracoorte and Lucindale,SA,32.9,"2,029",66.9,"4,104",5.5,90,22.7,362,
Northern Areas,SA,38.8,"1,336",73.7,"2,497",6.5,55,23.9,204,
Norwood Payneham St Peters,SA,21.8,"6,478",57.8,"17,367",4.8,254,22.4,"1,180",
Onkaparinga,SA,31.9,"42,297",68.1,"89,622",6.7,"2,224",23.7,"7,911",
Orroroo/Carrieton,SA,,,,,,,,,
Peterborough,SA,37.9,509,72.4,950,6.9,20,24.4,71,
Playford,SA,37.8,"23,614",73.6,"46,230",9.9,"2,001",26.1,"5,165",
Port Adeliade Enfield,SA,29.5,"28,003",64.7,"61,880",8.2,"1,766",27,"5,747",
Port Augusta,SA,37.4,"3,807",72.1,"7,248",7.6,219,25.8,721,
Port Lincoln,SA,34.4,"3,599",68,"7,080",6.4,200,23.4,720,
Port Pirie City and Dists,SA,38.3,"4,907",71.4,"9,062",8,288,25.6,909,
Prospect,SA,22.4,"3,771",58.9,"9,950",4.6,170,21.9,799,
Renmark Paringa,SA,35,"2,420",67.9,"4,677",7.1,122,23.8,409,
Robe,SA,36.2,388,70.5,747,5.4,15,23.7,66,
Roxby Downs,SA,29,796,67.6,"1,937",6.7,56,21.8,165,
Salisbury,SA,33.6,"35,081",69.5,"72,689",8.1,"2,200",25.6,"6,932",
Southern Mallee,SA,38.6,603,72.9,"1,117",6.6,28,25.2,104,
Streaky Bay ,SA,,,,,,,,,
Tatiara,SA,36.2,"1,817",70.5,"3,498",5.4,71,23.7,310,
Tea Tree Gully,SA,29.2,"23,242",65.9,"51,880",5.4,977,22.9,"4,189",
The Coorong,SA,38.6,"1,589",72.9,"2,946",6.6,73,25.2,273,
Tumby Bay,SA,,,,,,,,,
Unley,SA,19.9,"6,115",56.3,"17,282",4.2,280,20.9,"1,376",
Victor Harbor,SA,32.1,"4,000",66,"8,078",6.3,130,20.4,418,
Wakefield,SA,39.4,"2,000",74.2,"3,705",7.2,100,23.7,328,
Walkerville,SA,22.4,"1,323",58.9,"3,491",4.6,60,21.9,280,
Wattle Range,SA,36.3,"3,126",70.7,"5,988",6.8,157,23.9,548,
West Torrens,SA,26.2,"12,170",61.6,"29,018",5.6,495,25,"2,158",
Whyalla,SA,37.6,"6,141",70.7,"11,509",8.2,380,25.3,"1,147",
Wundinna,SA,,,,,,,,,
Yankalilla,SA,32.1,"1,269",66,"2,562",6.3,41,20.4,133,
Yorke Peninsula,SA,38.6,"3,477",73.5,"6,473",6.8,120,23.7,414,
Alpine,VIC,34.1,"3,250",70.2,"6,517",6.1,142,28.2,685,
Ararat,VIC,32.6,"2,841",68.4,"5,851",7.4,157,28.6,619,
Ballarat,VIC,33.8,"24,661",69.4,"50,387",8.1,"1,804",29.3,"6,584",
Banyule,VIC,22.9,"22,329",61.5,"59,897",6.1,"1,401",28,"6,365",
Bass Coast,VIC,31,"7,917",66.9,"16,816",7.6,477,27.3,"1,710",
Baw Baw,VIC,32.7,"11,589",67.8,"23,591",7.5,795,27.5,"2,932",
Bayside,VIC,17.7,"14,084",56,"43,822",4.8,984,25.3,"5,326",
Benalla,VIC,31.2,"3,377",67,"7,090",6.8,184,28.3,789,
Boroondara,VIC,14.5,"19,341",53.1,"70,726",4.5,"1,428",24.4,"7,956",
Brimbank,VIC,27.4,"41,169",64.9,"97,795",10,"3,796",34.4,"13,162",
Buloke,VIC,32.4,"1,574",68.1,"3,253",6.3,79,28.5,367,
Campaspe,VIC,33,"9,233",68.4,"18,826",7.5,621,28.9,"2,458",
Cardinia,VIC,32.4,"20,891",71.2,"45,888",8.7,"1,843",28.2,"5,953",
Casey,VIC,32.2,"66,641",70.5,"146,362",9.3,"6,217",31.6,"21,260",
Central Goldfields,VIC,36.1,"3,664",71.3,"7,108",9,225,30.7,786,
Colac-Otway,VIC,31.3,"4,914",66.8,"10,327",6.6,270,29.1,"1,220",
Corangamite,VIC,33.3,"4,065",69.9,"8,384",6.5,240,30.2,"1,132",
Darebin,VIC,23.9,"27,277",61.9,"71,966",7.6,"1,761",31.1,"7,087",
East Gippsland,VIC,33.9,"12,064",69.4,"24,136",8.8,777,30,"2,692",
Frankston ,VIC,30.8,"31,999",68.8,"71,178",8.1,"2,123",29.4,"7,714",
Gannawarra,VIC,32.4,"2,556",68.1,"5,284",6.3,128,28.5,596,
Glen Eira,VIC,18.6,"20,475",56.9,"63,254",5.5,"1,481",26.7,"7,159",
Glenelg,VIC,32.5,"4,911",69,"10,219",7.1,281,27.9,"1,151",
Golden Plains,VIC,35.4,"5,298",71.9,"10,538",7.3,380,27.8,"1,486",
Greater Bendigo,VIC,34.2,"27,048",69.6,"54,666",7.8,"1,894",28.7,"7,027",
Greater Dandenong,VIC,26.3,"29,815",63.2,"72,271",10.6,"2,942",37,"10,301",
Greater Geelong,VIC,29.2,"49,703",64.6,"108,957",7.8,"3,719",28.6,"13,756",
